I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
50,Medium,0,3,348.0,347.0,34,348.0,6.96,340.04762,6.80095,0.0,0.0,0.28476,-0.48413,-0.19824,348.0
50,Medium,0,4,348.0,347.0,32,348.0,6.96,340.47619,6.80952,0.0,0.0,0.29752,-0.4259,-0.18005,348.0
50,Medium,0,5,347.0,347.0,50,347.0,6.94,347.0,6.94,0.0,0.0,0.13203,-0.45489,-0.17708,347.0
50,Medium,0,6,347.0,347.0,34,347.0,6.94,362.52381,7.25048,0.0,0.0,0.22294,-0.45489,-0.17957,347.0
50,Medium,0,7,347.0,347.0,43,347.0,6.94,300.14286,6.00286,0.0,0.0,0.08897,-0.37857,-0.17808,347.0
50,Medium,0.02,3,348.52,348.428,128,348.52,6.9704,183.66667,3.67333,5.52,0.1104,0.15476,-0.24675,-0.13779,348.52
50,Medium,0.02,4,349.96,349.72303,178,349.96,6.9992,164.42857,3.28857,3.96,0.0792,0.28476,-0.29221,-0.10344,349.96
50,Medium,0.02,5,351.94,351.54331,188,351.94,7.0388,157.38095,3.14762,4.94,0.0988,0.24476,-0.24675,-0.08204,351.94
50,Medium,0.02,6,353.06,352.54663,156,353.06,7.0612,148.66667,2.97333,6.06,0.1212,0.24476,-0.23292,-0.07136,353.06
50,Medium,0.02,7,355.04,354.39199,161,355.04,7.1008,148.75,2.975,8.04,0.1608,0.24476,-0.23292,-0.0724,355.04
50,Medium,0.04,3,350.04,349.83116,115,350.04,7.0008,183.33333,3.66667,3.04,0.0608,0.24476,-0.30952,-0.11529,350.04
50,Medium,0.04,4,352.92,352.43166,143,352.92,7.0584,163.33333,3.26667,5.92,0.1184,0.28476,-0.23292,-0.07576,352.92
50,Medium,0.04,5,356.88,356.00023,149,356.88,7.1376,160.83333,3.21667,9.88,0.1976,0.24476,-0.23292,-0.09828,356.88
50,Medium,0.04,6,359.12,357.87944,126,359.12,7.1824,145.0,2.9,11.12,0.2224,0.1131,-0.23292,-0.09393,359.12
50,Medium,0.04,7,362.76,361.38975,132,362.76,7.2552,141.0,2.82,12.76,0.2552,0.24476,-0.18944,-0.07131,362.76
